ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=10x10 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_fine_generations.jsonl
  seed plan    fitness=   320.4 cityPop=  313 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1] +
  seed reactive fitness=   225.0 cityPop=  220 cell=(6, 5, 0) rolls=[305.0, 185.0, 185.0] +
it   42 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=8 best_pop=773 best_fit=789
it   43 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=8 best_pop=773 best_fit=789
it   46 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=8 best_pop=773 best_fit=789
it   44 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=8 best_pop=773 best_fit=789
it   45 [cross]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=8 best_pop=773 best_fit=789
it   47 [mutat]   fit=     1.2 pop=    0 m=(0.03,0.00,0.00) cell=(0, 0, 0) | filled=8 best_pop=773 best_fit=789
it   48 [mutat] + fit=     1.7 pop=    0 m=(0.46,0.00,0.00) cell=(4, 0, 0) | filled=9 best_pop=773 best_fit=789
it   49 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=9 best_pop=773 best_fit=789
it   53 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   50 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   52 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   51 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   55 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=9 best_pop=773 best_fit=789
it   54 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=9 best_pop=773 best_fit=789
it   58 [cross]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   59 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   56 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   57 [mutat]   fit=     1.7 pop=    0 m=(0.52,0.00,0.00) cell=(5, 0, 0) | filled=9 best_pop=773 best_fit=789
it   60 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   62 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   61 [mutat] + fit=     2.4 pop=    0 m=(0.11,0.00,0.00) cell=(1, 0, 0) | filled=9 best_pop=773 best_fit=789
it   64 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   65 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   63 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   66 [cross]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   68 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   67 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   69 [cross] + fit=     3.4 pop=    0 m=(0.98,0.00,0.00) cell=(9, 0, 0) | filled=9 best_pop=773 best_fit=789
it   72 [mutat]   fit=     3.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   71 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   70 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   73 [cross]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   74 [mutat]   fit=     3.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   76 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   75 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   77 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=773 best_fit=789
it   78 [cross] + fit=     2.7 pop=    0 m=(0.38,0.00,0.00) cell=(3, 0, 0) | filled=10 best_pop=773 best_fit=789
it   79 [cross]   fit=     1.6 pop=    0 m=(0.42,0.00,0.00) cell=(4, 0, 0) | filled=10 best_pop=773 best_fit=789
it   80 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=773 best_fit=789
it   81 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=773 best_fit=789
it   83 [cross]   fit=     1.6 pop=    0 m=(0.40,0.00,0.00) cell=(4, 0, 0) | filled=10 best_pop=773 best_fit=789
it   82 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=10 best_pop=773 best_fit=789
it   85 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=773 best_fit=789
it   84 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=10 best_pop=773 best_fit=789
it   86 [mutat] + fit=   757.4 pop=  747 m=(0.90,0.00,0.12) cell=(9, 0, 1) | filled=11 best_pop=773 best_fit=789
it   89 [mutat]   fit=     1.6 pop=    0 m=(0.37,0.00,0.00) cell=(3, 0, 0) | filled=11 best_pop=773 best_fit=789
it   88 [cross] + fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=11 best_pop=773 best_fit=789
it   87 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=773 best_fit=789
it   90 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=773 best_fit=789
it   91 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=773 best_fit=789
it   94 [mutat]   fit=     4.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=773 best_fit=789
it   92 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=11 best_pop=773 best_fit=789
it   93 [mutat] + fit=     2.6 pop=    0 m=(0.25,0.00,0.00) cell=(2, 0, 0) | filled=12 best_pop=773 best_fit=789
it   95 [mutat]   fit=     1.2 pop=    0 m=(0.06,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=773 best_fit=789
it   96 [cross]   fit=   195.4 pop=  187 m=(0.00,0.00,0.18) cell=(0, 0, 2) | filled=12 best_pop=773 best_fit=789
it   97 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=773 best_fit=789
it   98 [cross] + fit=     2.9 pop=    0 m=(0.64,0.00,0.00) cell=(6, 0, 0) | filled=13 best_pop=773 best_fit=789
it   99 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=13 best_pop=773 best_fit=789
it  100 [cross] + fit=   517.2 pop=  500 m=(0.00,0.00,0.17) cell=(0, 0, 2) | filled=13 best_pop=773 best_fit=789
it  101 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=773 best_fit=789
it  102 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=773 best_fit=789
it  103 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=773 best_fit=789
it  105 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=773 best_fit=789
it  104 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=13 best_pop=773 best_fit=789
it  106 [mutat] + fit=     2.0 pop=    0 m=(0.75,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=773 best_fit=789
it  110 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  109 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  108 [cross]   fit=     2.7 pop=    0 m=(0.05,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  107 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  111 [mutat]   fit=     1.2 pop=    0 m=(0.06,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  112 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  113 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  114 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  116 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  118 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  115 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  117 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  124 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
