ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_long_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
  seed reactive fitness=   221.0 cityPop=  216 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0, 205.0, 225.0] +
it   42 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=420 best_fit=433
it   44 [mutat] + fit=     1.9 pop=    0 m=(0.66,0.00,0.00) cell=(5, 0, 0) | filled=9 best_pop=420 best_fit=433
it   45 [cross]   fit=   260.4 pop=  252 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=420 best_fit=433
it   43 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=420 best_fit=433
it   46 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=420 best_fit=433
it   47 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=420 best_fit=433
it   50 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=9 best_pop=420 best_fit=433
it   51 [mutat] + fit=     1.8 pop=    0 m=(0.58,0.00,0.00) cell=(4, 0, 0) | filled=10 best_pop=420 best_fit=433
it   49 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=420 best_fit=433
it   52 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=420 best_fit=433
it   48 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=420 best_fit=433
it   53 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=420 best_fit=433
it   54 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=420 best_fit=433
it   55 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=10 best_pop=420 best_fit=433
it   57 [mutat] + fit=     1.7 pop=    0 m=(0.47,0.00,0.00) cell=(3, 0, 0) | filled=10 best_pop=420 best_fit=433
it   56 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=10 best_pop=420 best_fit=433
it   59 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=10 best_pop=420 best_fit=433
