ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_clind_ambition_generations.jsonl
  seed clind_champ fitness=  2623.0 cityPop= 2613 cell=(5, 0, 2) rolls=[2569.7, 2409.7, 2889.7] +
  killing fully open-loop genomes: max(cf, divergence) <= 0.0
it   44 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   43 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   45 [cross] KILLED open-loop: cf=0.00 div=0.00 pop=0
it   46 [mutat]   fit=     5.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   47 [mutat] + fit=    25.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   48 [mutat] + fit=     6.3 pop=    0 m=(0.08,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   50 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   49 [cross]   fit=     5.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   51 [mutat]   fit=     5.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   52 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   53 [mutat] invalid: init() is 34 lines; keep it <= 30 (~20 lines)
it   54 [mutat]   fit=     8.0 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   56 [mutat] invalid: init() is 35 lines; keep it <= 30 (~20 lines)
it   55 [mutat] + fit=   974.8 pop=  960 m=(1.00,0.35,0.22) cell=(7, 2, 2) | filled=12 best_pop=2613 best_fit=2623
it   57 [mutat]   fit=     8.0 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   58 [cross]   fit=     9.0 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   59 [mutat] invalid: init() is 34 lines; keep it <= 30 (~20 lines)
it   60 [mutat]   fit=     2.5 pop=    0 m=(0.05,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   62 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   61 [mutat] + fit=    28.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   63 [mutat] KILLED open-loop: cf=0.00 div=0.00 pop=0
it   65 [mutat] + fit=   291.0 pop=  280 m=(1.00,0.09,0.27) cell=(7, 0, 2) | filled=12 best_pop=2613 best_fit=2623
it   64 [mutat]   fit=     3.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   66 [cross]   fit=     8.0 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   67 [mutat]   fit=     4.4 pop=    0 m=(0.98,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=2613 best_fit=2623
it   68 [mutat] + fit=   905.0 pop=  887 m=(1.00,0.39,0.33) cell=(7, 3, 3) | filled=13 best_pop=2613 best_fit=2623
it   69 [cross]   fit=     7.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=13 best_pop=2613 best_fit=2623
it   70 [cross] + fit=    58.5 pop=   53 m=(1.00,0.07,0.33) cell=(7, 0, 3) | filled=14 best_pop=2613 best_fit=2623
it   71 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   72 [mutat] + fit=    10.9 pop=    0 m=(0.08,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   73 [cross]   fit=   707.7 pop=  693 m=(1.00,0.32,0.29) cell=(7, 2, 2) | filled=14 best_pop=2613 best_fit=2623
it   74 [mutat]   fit=     4.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=2613 best_fit=2623
it   75 [mutat]   fit=     3.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=2613 best_fit=2623
