ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=res_ind archive=20x20 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_diverse_overnight_generations.jsonl
  seed reactive fitness=   282.4 cityPop=  276 cell=(19, 0) rolls=[326.4, 346.4, 246.4, 246.4, 246.4] +
  seed plan    fitness=   335.1 cityPop=  328 cell=(19, 0) rolls=[387.1, 367.1, 267.1, 367.1, 287.1] +
  seed industrial fitness=    71.1 cityPop=   64 cell=(0, 19) rolls=[167.1, 7.1, 7.1, 167.1, 7.1] +
  seed commercial fitness=     7.1 cityPop=    0 cell=(0, 0) rolls=[7.1, 7.1, 7.1, 7.1, 7.1] +
  seed mixed   fitness=   219.1 cityPop=  212 cell=(7, 6) rolls=[7.1, 167.1, 327.1, 347.1, 247.1] +
  seed res_ind fitness=   263.1 cityPop=  256 cell=(10, 10) rolls=[247.1, 207.1, 327.1, 287.1, 247.1] +
  seed res_heavy fitness=   247.1 cityPop=  240 cell=(15, 5) rolls=[287.1, 167.1, 187.1, 327.1, 267.1] +
  seed twin    fitness=   171.2 cityPop=  160 cell=(10, 9) rolls=[411.2, 411.2, 11.2, 11.2, 11.2] +
it   40 [cross] + fit=     4.2 pop=    0 m=(0.57,0.14) cell=(11, 2) | filled=20 best_pop=1496 best_fit=1514
it   41 [mutat] + fit=   160.6 pop=  148 m=(0.39,0.22) cell=(7, 4) | filled=21 best_pop=1496 best_fit=1514
it   42 [mutat] + fit=     6.3 pop=    0 m=(0.57,0.14) cell=(11, 2) | filled=21 best_pop=1496 best_fit=1514
it   43 [mutat]   fit=     3.8 pop=    0 m=(0.33,0.33) cell=(6, 6) | filled=21 best_pop=1496 best_fit=1514
it   44 [mutat] + fit=  1876.5 pop= 1860 m=(0.44,0.18) cell=(8, 3) | filled=22 best_pop=1860 best_fit=1876
it   45 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1860 best_fit=1876
it   46 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=22 best_pop=1860 best_fit=1876
it   47 [mutat] + fit=  1813.2 pop= 1796 m=(0.50,0.21) cell=(10, 4) | filled=22 best_pop=1860 best_fit=1876
it   48 [mutat] + fit=   734.3 pop=  720 m=(0.71,0.17) cell=(14, 3) | filled=23 best_pop=1860 best_fit=1876
it   49 [mutat]   fit=   142.0 pop=  132 m=(0.30,0.30) cell=(6, 6) | filled=23 best_pop=1860 best_fit=1876
it   50 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1860 best_fit=1876
it   51 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1860 best_fit=1876
it   52 [cross]   fit=    43.5 pop=   36 m=(0.38,0.31) cell=(7, 6) | filled=23 best_pop=1860 best_fit=1876
it   53 [mutat]   fit=     1.9 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=23 best_pop=1860 best_fit=1876
it   54 [cross] + fit=   811.7 pop=  792 m=(0.48,0.26) cell=(9, 5) | filled=24 best_pop=1860 best_fit=1876
it   55 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=24 best_pop=1860 best_fit=1876
it   56 [cross] + fit=   433.3 pop=  424 m=(0.77,0.15) cell=(15, 3) | filled=25 best_pop=1860 best_fit=1876
it   57 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=25 best_pop=1860 best_fit=1876
it   58 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=25 best_pop=1860 best_fit=1876
it   59 [cross]   fit=  1876.5 pop= 1860 m=(0.44,0.18) cell=(8, 3) | filled=25 best_pop=1860 best_fit=1876
it   60 [cross] + fit=  1225.9 pop= 1200 m=(0.75,0.12) cell=(15, 2) | filled=26 best_pop=1860 best_fit=1876
it   61 [mutat] + fit=   333.9 pop=  324 m=(0.37,0.32) cell=(7, 6) | filled=26 best_pop=1860 best_fit=1876
it   62 [cross] + fit=  1684.5 pop= 1668 m=(0.38,0.24) cell=(7, 4) | filled=26 best_pop=1860 best_fit=1876
it   63 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=26 best_pop=1860 best_fit=1876
it   64 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=26 best_pop=1860 best_fit=1876
it   65 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=26 best_pop=1860 best_fit=1876
it   66 [mutat]   fit=     3.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=26 best_pop=1860 best_fit=1876
it   67 [cross]   fit=  1120.5 pop= 1108 m=(0.50,0.18) cell=(10, 3) | filled=26 best_pop=1860 best_fit=1876
it   68 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=26 best_pop=1860 best_fit=1876
it   69 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=26 best_pop=1860 best_fit=1876
it   70 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=26 best_pop=1860 best_fit=1876
it   71 [cross]   fit=   203.2 pop=  192 m=(0.75,0.12) cell=(15, 2) | filled=26 best_pop=1860 best_fit=1876
